signal_key,signal_time,coin,side,core,status,entry,sl,tp,entry_score,rsi_entry,adx4h_pct_entry,adx4h_delta_entry,volume_ratio_entry,ema20_dist_atr_entry,result,exit,R,closed_at,equity_after,post_mortem
AIN/USDT:USDT|LONG|2026-09-15T13:00:00+00:00|V15_ADX4H_CANDLE2H,2026-09-15T13:00:00+00:00,AIN/USDT:USDT,LONG,V15_ADX4H_CANDLE2H,CLOSED,0.18157,0.14679037358928326,0.22504453301339594,,,,,,,SL,0.14679037358928326,-1.0,2026-09-16T01:15:00+00:00,99.5,FAILED_FOLLOW_THROUGH_SL
MMT/USDT:USDT|SHORT|2026-09-16T03:00:00+00:00|V15_ADX4H_CANDLE2H,2026-09-16T03:00:00+00:00,MMT/USDT:USDT,SHORT,V15_ADX4H_CANDLE2H,CLOSED,0.1322,0.13803896294082407,0.12490129632396993,,,,,,,TP,0.12490129632396993,1.25,2026-09-16T17:00:00+00:00,100.121875,FOLLOW_THROUGH_OK_TP
VIRTUAL/USDT:USDT|SHORT|2026-09-16T17:45:00+00:00|V15_ADX4H_CANDLE2H,2026-09-16T17:45:00+00:00,VIRTUAL/USDT:USDT,SHORT,V15_ADX4H_CANDLE2H,CLOSED,0.5802,0.5927708895693659,0.5644863880382928,,,,,,,SL,0.5927708895693659,-1.0,2026-09-16T18:05:00+00:00,99.621265625,FAILED_FOLLOW_THROUGH_SL
SYN/USDT:USDT|LONG|2026-09-16T20:15:00+00:00|V15_ADX4H_CANDLE2H,2026-09-16T20:15:00+00:00,SYN/USDT:USDT,LONG,V15_ADX4H_CANDLE2H,CLOSED,0.1877,0.1584480761207722,0.22426490484903477,,,,,,,SL,0.1584480761207722,-1.0,2026-09-16T22:00:00+00:00,98.62754350039063,FAILED_FOLLOW_THROUGH_SL
GRIFFAIN/USDT:USDT|LONG|2026-09-17T01:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T01:00:00+00:00,GRIFFAIN/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.01328,0.012880822424518138,0.013778971969352329,,,,,,,TP,0.013778971969352329,1.25,2026-09-17T01:55:00+00:00,99.24396564726807,FOLLOW_THROUGH_OK_TP
SYN/USDT:USDT|LONG|2026-09-17T09:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T09:00:00+00:00,SYN/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.18147,0.1621477370504826,0.20562282868689674,0.0,,,,,,TP,0.20562282868689674,1.25,2026-09-17T09:40:00+00:00,99.86424043256349,FOLLOW_THROUGH_OK_TP
PI/USDT:USDT|SHORT|2026-09-17T14:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T14:45:00+00:00,PI/USDT:USDT,SHORT,V15_EARLY_RECLAIM_V1,CLOSED,0.08189,0.08329318025536524,0.08013602468079346,61.76501900432191,41.49980138634454,0.97,3.862547332434751,1.00981499711248,1.0757093551474617,SL,0.08329318025536524,-1.0,2026-09-17T14:10:00+00:00,99.36491923040067,FAILED_FOLLOW_THROUGH_SL
REZ/USDT:USDT|LONG|2026-09-17T16:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T16:00:00+00:00,REZ/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.003815,0.0036418788439347436,0.00403140144508157,32.50510393651519,50.834403609305454,0.46,0.141974638355439,1.0269433710713018,0.11834615722810002,SL,0.0036418788439347436,-1.0,2026-09-17T17:00:00+00:00,98.86809463424866,FAILED_FOLLOW_THROUGH_SL
FLOCK/USDT:USDT|LONG|2026-09-17T22:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T22:30:00+00:00,FLOCK/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.06889,0.06694344825777955,0.07132318967777558,62.323250516935005,52.983795285261564,0.41,2.8869462380736195,1.016020493095084,0.48972592205838295,TP,0.07132318967777558,1.25,2026-09-17T23:25:00+00:00,99.48602022571272,FOLLOW_THROUGH_OK_TP
ARB/USDT:USDT|LONG|2026-09-17T20:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T20:15:00+00:00,ARB/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.1764,0.17121753,0.18287809,63.3,,,,,,TP,0.18287809,1.25,2026-09-18T00:55:00+00:00,100.10780785212343,FOLLOW_THROUGH_OK_TP
UNI/USDT:USDT|LONG|2026-09-17T21:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T21:00:00+00:00,UNI/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,7.673,7.441063205900834,7.962920992623958,44.59165941259098,61.06662407601922,0.205,5.757686913084946,2.310024184723349,0.9597306854074424,TP,7.962920992623958,1.25,2026-09-18T01:55:00+00:00,100.7334816511992,FOLLOW_THROUGH_OK_TP
SOMI/USDT:USDT|LONG|2026-09-17T23:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T23:00:00+00:00,SOMI/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.1717,0.16817172159153965,0.17611034801057543,55.50150522460453,57.353205117747954,0.595,4.665059075038506,1.0001841664997997,0.8374808906769262,TP,0.17611034801057543,1.25,2026-09-18T03:25:00+00:00,101.3630659115192,FOLLOW_THROUGH_OK_TP
